station,delay_mean,delay_p90,traffic,lat,lon,t2m_mean,precip_mean,wind_mean,freezing_rate,heavy_rain_rate,windy_rate
Szczawno - Ciemnice,0.10957792979189247,0.1688741721854304,323.0,52.0394679,15.2338262,12.0472412109375,1.6111088196436565,1.2775366960562757,0.0,0.0,0.0
Szczebrzeszyn,0.29675889105314934,0.5083333333333333,200.33333333333334,50.6946972,22.9786754,11.005411783854166,1.8105468849341075,1.3108445658512091,0.08333333333333333,0.0,0.0
Szczecin Dunikowo,0.06455332399313939,0.1147540983606557,405.6666666666667,53.3858925,14.7383306,11.395222981770834,1.8924309313297272,1.554573198798946,0.0,0.0,0.0
Szczecin Dąbie,0.09556490356683561,0.1917251619870411,2198.9583333333335,53.3913468,14.6704623,11.395222981770834,1.8924309313297272,1.554573198798946,0.0,0.0,0.0
Szczecin Gumieńce,0.1103443310839032,0.1506849315068493,488.4166666666667,53.3980028,14.4976184,11.391153971354166,1.8578462700049083,1.5511416266340659,0.0,0.0,0.0
Szczecin Główny,0.10433411511090923,0.18918032901841436,3680.8333333333335,53.4192387,14.5519713,11.390177408854166,1.8821910272041957,1.5546653430399884,0.0,0.0,0.0
Szczecin Niebuszewo,0.08333333333333333,0.5,0.6666666666666666,53.4485317,14.5543688,11.390177408854166,1.8821910272041957,1.5546653430399884,0.0,0.0,0.0
Szczecin Podjuchy,0.04137170692856411,0.0592516232766361,619.1111111111111,53.3599161,14.5857672,11.390177408854166,1.8821910272041957,1.5546653430399884,0.0,0.0,0.0
Szczecin Port Centralny,0.07227377860638509,0.0875696949819613,1881.5,53.4133077,14.5658023,11.390177408854166,1.8821910272041957,1.5546653430399884,0.0,0.0,0.0
Szczecin Trzebusz,0.04758466003895014,0.086115992970123,469.6666666666667,53.411715,14.7129744,11.395222981770834,1.8924309313297272,1.554573198798946,0.0,0.0,0.0
Szczecin Wzgórze Hetmańskie,0.0,0.0,0.16666666666666666,53.4067857,14.5211192,11.391153971354166,1.8578462700049083,1.5511416266340659,0.0,0.0,0.0
Szczecin Załom,0.07661315474592588,0.1010479041916167,1397.3333333333333,53.4294751,14.7440097,11.395222981770834,1.8924309313297272,1.554573198798946,0.0,0.0,0.0
Szczecin Zdroje,0.07658879287758802,0.1006734006734006,3068.8333333333335,53.3788244,14.636904,11.390177408854166,1.8821910272041957,1.5546653430399884,0.0,0.0,0.0
Szczecin Zdunowo,0.09449026252590259,0.1135940409683426,1573.5833333333333,53.3832809,14.7628306,11.378133138020834,1.8940607557694118,1.5557810995171995,0.0,0.0,0.0
Szczecin Łasztownia,0.03264246141452523,0.0807770961145194,1358.9166666666667,53.4182168,14.5597513,11.390177408854166,1.8821910272041957,1.5546653430399884,0.0,0.0,0.0
Szczecin Żydowce,0.02316158806000067,0.0448851774530271,550.9166666666666,53.3524764,14.5739079,11.390177408854166,1.8821910272041957,1.5546653430399884,0.0,0.0,0.0
Szczecinek,0.16804057573493783,0.38561893609903,823.7916666666666,53.708021,16.6943922,10.422566731770834,2.0460259268681207,1.5541703258442479,0.08333333333333333,0.0,0.0
Szczecinek Bugno,0.1703096740565665,0.3333333333333333,107.75,53.7231847,16.6843617,10.422566731770834,2.0460259268681207,1.5541703258442479,0.08333333333333333,0.0,0.0
Szczecinek Chyże,0.27134113277962063,0.3333333333333333,275.75,53.7181804,16.6971931,10.422566731770834,2.0460259268681207,1.5541703258442479,0.08333333333333333,0.0,0.0
Szczedrzykowice,0.11545275404050666,0.1743278404163052,1128.9166666666667,51.2282018,16.3466952,11.696492513020834,1.895938937862714,1.4371508444746093,0.0,0.0,0.0
Szczejkowice,0.03913399917971417,0.0585585585585585,233.66666666666666,50.0993799,18.6806787,11.357625325520834,2.070289373397827,1.334891827800562,0.08333333333333333,0.0,0.0
Szczepanowice,0.13792797055156292,0.23270816934186656,812.4444444444445,51.23343,19.63484,11.1932373046875,1.8652552366256714,1.5648434702329546,0.08333333333333333,0.0,0.0
Szczepanów,0.07870261436602073,0.1338289962825278,528.4166666666666,50.73993,20.35814,11.100138346354166,1.7126900255680084,1.2989061842074268,0.08333333333333333,0.0,0.0
Szczepki,0.08011660899500979,0.1260869565217391,228.83333333333334,53.9601025,22.9551819,10.097371419270834,1.4904882560173671,1.453139888618069,0.08333333333333333,0.0,0.0
Szczytna,0.16007051386453353,0.3506465517241379,199.5,50.4169281,16.4408185,9.193074544270834,2.2196939984957376,1.1301972752337524,0.08333333333333333,0.0,0.0
Szczytno,0.09396206703184103,0.2083333333333333,290.5,53.563733,20.9968636,10.428263346354166,1.672479545076688,1.3868752789207448,0.08333333333333333,0.0,0.0
Szebnie,0.10063696877952107,0.1391752577319587,420.1666666666667,49.7589559,21.5970934,11.017781575520834,2.0455968578656516,1.1741455677113561,0.08333333333333333,0.0,0.0
Szepietowo,0.10726270270132404,0.2012271114945834,742.0,52.8712982,22.5474331,10.781941731770834,1.5125817110141118,1.4346329873629413,0.08333333333333333,0.0,0.0
Szeroki Bór,0.12374974274319732,0.1827956989247312,182.5,53.61922,21.64204,10.582071940104166,1.600890338420868,1.3359248150158376,0.08333333333333333,0.0,0.0
Szewce,0.13904259419951642,0.1855242475403155,757.3888888888889,52.6986131,19.8478455,11.095743815104166,1.6079212079445522,1.4347147800852587,0.08333333333333333,0.0,0.0
Szewnica,0.03495238720604927,0.0469314079422382,1346.6666666666667,52.4853602,21.562639,11.4227294921875,1.4442781905333202,1.3372635838192286,0.08333333333333333,0.0,0.0
Szklarska Poręba Dolna,0.11493132187409304,0.21469872185027394,282.5833333333333,50.8410932,15.5552282,7.983113606770833,3.0151071349779763,1.1299847331317499,0.16666666666666666,0.0,0.0
Szklarska Poręba Górna,0.07901982097246964,0.14857072042300062,525.0833333333334,50.8254503,15.5166363,7.8651123046875,3.0233598748842874,1.0826133133075142,0.16666666666666666,0.0,0.0
Szklarska Poręba Huta,0.03584783438340206,0.0614973262032085,484.0,50.826004,15.5047489,7.8651123046875,3.0233598748842874,1.0826133133075142,0.16666666666666666,0.0,0.0
Szklarska Poręba Średnia,0.11268286747318608,0.21469872185027394,282.5833333333333,50.8436587,15.5333074,7.8651123046875,3.0233598748842874,1.0826133133075142,0.16666666666666666,0.0,0.0
Szlachta,0.03258177067969409,0.0792339557523407,285.1111111111111,53.7688414,18.1141383,10.426798502604166,1.8389680584271748,1.5283173565260537,0.08333333333333333,0.0,0.0
Szpęgawsk,0.14245194262857783,0.1866464339908952,685.1666666666666,54.0031337,18.6059067,10.6082763671875,1.7480613489945729,1.6074767868748587,0.08333333333333333,0.0,0.0
Szreniawa,0.0316290486731518,0.05833067408948125,684.8333333333334,51.0722376,20.0616585,11.1199951171875,1.8066859344641368,1.505671295243115,0.08333333333333333,0.0,0.0
Sztum,0.09343695132775151,0.1829178885630498,492.8333333333333,53.9198663,19.0305384,10.831095377604166,1.7093055844306946,1.5368273899194813,0.08333333333333333,0.0,0.0
Sztumska Wieś,0.05688904182599938,0.1051136363636363,694.4166666666666,53.8945007,19.0104133,10.831095377604166,1.7093055844306946,1.5368273899194813,0.08333333333333333,0.0,0.0
Szulborze Wielkie,0.017448322948804457,0.025089605734767,528.0,52.7602407,22.2282937,11.043172200520834,1.4578500638405483,1.3959071239499006,0.08333333333333333,0.0,0.0
Szybowice,0.10874036114914076,0.23027783908384214,155.16666666666666,50.3526521,17.4866564,11.406290690104166,2.4675700962543488,1.4045751716380257,0.08333333333333333,0.0,0.0
Szydłowiec,0.055996172050551345,0.07770491803278684,590.5,51.2238922,20.8575141,10.9818115234375,1.8279529909292858,1.4521694759370183,0.08333333333333333,0.0,0.0
Szydłowo Krajeńskie,0.15791925071031332,0.3010033444816054,290.0,53.1667541,16.6069128,10.990437825520834,1.753609875837962,1.3368731506413836,0.0,0.0,0.0
Szydłów,0.11807410316159993,0.175983436853002,474.4166666666667,50.5907684,21.0045698,11.1815185546875,1.7539867113033931,1.270300990879317,0.08333333333333333,0.0,0.0
Szydłów Centrum,0.12162615602302755,0.175983436853002,474.3333333333333,50.6052567,17.7183013,11.938028971354166,1.9538954347372055,1.2381957383846143,0.0,0.0,0.0
Szymankowo,0.10066707115207806,0.1787330316742081,1333.0,54.07363,18.92254,10.972696940104166,1.6403852452834446,1.5824241410667452,0.08333333333333333,0.0,0.0
Szymany,0.041862862410132456,0.0788177339901477,143.11111111111111,53.48385,20.9626,10.620157877604166,1.6448351045449574,1.3590101215854944,0.08333333333333333,0.0,0.0
Szymany Lotnisko,0.02791394335511982,0.125,16.5,53.489121,20.9475371,10.614786783854166,1.6350366870562236,1.3885687327984646,0.08333333333333333,0.0,0.0
Szymbory,0.05015006055549359,0.1049822064056939,554.0833333333334,54.0899942,19.9181855,10.586466471354166,1.867104560136795,1.3491944158352933,0.08333333333333333,0.0,0.0
Szymiszów,0.10274829023684641,0.1465798045602606,597.6666666666666,50.5177,18.2484683,11.620157877604166,2.0218090415000916,1.262697999255362,0.08333333333333333,0.0,0.0
Szymocice,0.06936618067605003,0.0876993166287015,860.5833333333334,50.1624654,18.3734558,11.7342529296875,1.9995426535606384,1.2846012921078083,0.08333333333333333,0.0,0.0
Sól,0.1269513537308007,0.2376237623762376,484.1666666666667,50.5128103,22.6536942,11.278361002604166,1.877834012111028,1.2165820627678856,0.08333333333333333,0.0,0.0
Sól Kiczora,0.12830557280081906,0.2433862433862433,483.4166666666667,49.5103714,19.0475463,8.786173502604166,2.9932762881120047,0.8253087996922503,0.16666666666666666,0.0,0.0
Sątopy,0.13688513173457104,0.26473898972843674,870.5555555555555,54.0612945,21.0128715,10.372599283854166,1.738772024710973,1.4934393782006063,0.08333333333333333,0.0,0.0
Sątopy-Samulewo,0.06079103771726015,0.0833333333333333,361.6666666666667,54.0729258,21.0240856,10.372599283854166,1.738772024710973,1.4934393782006063,0.08333333333333333,0.0,0.0
Sędzice,0.10216634926498093,0.1333333333333333,426.0833333333333,51.6427225,18.5976889,11.5623779296875,1.8871633907159169,1.5165656499321505,0.0,0.0,0.0
Sędziszów,0.10428639909290677,0.19178807947019869,1047.375,50.564781,20.0538047,11.0345458984375,1.9414601176977158,1.3622421362497432,0.08333333333333333,0.0,0.0
Sędziszów Małopolski,0.10815470830620212,0.21028911564625846,1180.7222222222222,50.0715996,21.7007524,11.4617919921875,2.0188135902086892,1.2794564313772798,0.08333333333333333,0.0,0.0
Sędziszów Małopolski Wschodni,0.05541884733190283,0.0638641875505254,1240.9166666666667,50.0699864,21.7285588,11.4617919921875,2.0188135902086892,1.27945643137728,0.08333333333333333,0.0,0.0
Sędzisław,0.1421455750084664,0.2261839788732394,829.7083333333334,50.8204862,16.0640931,9.532430013020834,2.7466133336226144,1.3345963737302486,0.08333333333333333,0.0,0.0
Sława Wielkopolska,0.025600117007872136,0.052988582554696545,756.9444444444445,52.6375687,17.1457634,11.513875325520834,1.5834205895662308,1.4030517295699372,0.0,0.0,0.0
Sławięcice,0.08033275423112472,0.1167883211678832,532.6666666666666,50.3726874,18.3238027,11.690958658854166,2.0257178048292794,1.2440730461127667,0.08333333333333333,0.0,0.0
Sławki,0.044142887190613954,0.0682852807283763,627.25,54.2543556,18.1808171,9.707234700520834,2.078187565008799,1.8045939798191197,0.08333333333333333,0.0,0.0
Sławków,0.057450516767875055,0.088659793814433,486.6666666666667,50.2984547,19.3898475,11.129109700520834,2.128846844037374,1.3288149411189394,0.08333333333333333,0.0,0.0
Sławno,0.18471503981445095,0.3495465402157219,953.7777777777778,54.361142,16.6754076,10.810587565104166,2.02866696814696,2.0096068884285607,0.0,0.0,0.0
Słomianka,0.03693590774712232,0.07962842557528571,338.55555555555554,53.5634738,23.3978858,10.2054443359375,1.5797421634197235,1.4017810582304686,0.08333333333333333,0.0,0.0
Słomniki,0.11777196661711087,0.2097586836092252,834.2222222222222,50.2403739,20.0811369,11.1004638671875,1.897053395708402,1.2611853695510868,0.08333333333333333,0.0,0.0
Słomniki Miasto,0.118956685484174,0.20610236220472433,834.2777777777778,50.235873,20.0763665,11.1004638671875,1.897053395708402,1.2611853695510868,0.08333333333333333,0.0,0.0
Słone,0.033928571428571426,0.0,23.333333333333332,52.6315444,18.9384213,11.4178466796875,1.7969818909962971,1.4450803017346547,0.0,0.0,0.0
Słonice,0.11526464805459109,0.1556195965417867,345.6666666666667,53.09083,15.51753,11.230183919270834,1.921507438023885,1.3857565914389358,0.0,0.0,0.0
Słonowice,0.08469690904106529,0.1510989010989011,358.5833333333333,54.3888139,16.904951,10.660847981770834,2.0678868492444358,1.9190364283144004,0.0,0.0,0.0
Słosinko,0.08650127514712926,0.1778523489932885,265.8333333333333,53.9424043,16.9845619,10.221883138020834,2.112035264571508,1.6517762450378821,0.08333333333333333,0.0,0.0
Słotwiny,0.03308424858368119,0.053699589883800344,583.1111111111111,51.7235607,19.8398892,11.143107096354166,1.7610222399234772,1.5368834011630295,0.08333333333333333,0.0,0.0
Słowienkowo,0.11360371197280711,0.1995073891625615,387.6666666666667,54.20609,15.94917,11.058797200520834,2.0718868474165597,1.9374033527667047,0.0,0.0,0.0
Słubice,0.10033797698304175,0.15,91.16666666666667,52.3557481,14.5662367,11.9412841796875,1.5814803143342335,1.405614939255915,0.0,0.0,0.0
